pair_id,pair_index,source_paths,target_id,benign_target_selected,adversarial_target_selected,benign_target_shown,adversarial_target_shown,scheduled_presentation_permutation_id,benign_shown_candidate_ids,adversarial_shown_candidate_ids,benign_presentation_order,adversarial_presentation_order,benign_selected_option,adversarial_selected_option,benign_trial_id,adversarial_trial_id
80023,0,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H1,0,0,1,1,"0,1,2",H1|H2|H6,H1|H2|H3,H1|H2|H6,H1|H2|H3,H2,H2,0000-benign_curation,0000-adversarial_curation
80024,1,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H2,0,1,1,1,"1,2,0",H1|H2|H6,H2|H1|H3,H2|H6|H1,H1|H3|H2,H6,H2,0001-benign_curation,0001-adversarial_curation
80025,2,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H3,0,0,0,1,"0,2,1",H1|H2|H6,H3|H4|H5,H1|H6|H2,H3|H5|H4,H6,H4,0002-benign_curation,0002-adversarial_curation
80026,3,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H4,0,0,0,1,"0,1,2",H1|H2|H6,H4|H2|H6,H1|H2|H6,H4|H2|H6,H2,H6,0003-benign_curation,0003-adversarial_curation
80027,4,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H5,0,0,0,1,"1,2,0",H1|H2|H6,H5|H6|H8,H2|H6|H1,H6|H8|H5,H6,H6,0004-benign_curation,0004-adversarial_curation
80028,5,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H6,1,1,1,1,"1,2,0",H1|H2|H6,H6|H1|H3,H2|H6|H1,H1|H3|H6,H6,H6,0005-benign_curation,0005-adversarial_curation
80029,6,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H7,0,0,0,0,"1,0,2",H1|H2|H6,H1|H2|H3,H2|H1|H6,H2|H1|H3,H1,H1,0006-benign_curation,0006-adversarial_curation
80030,7,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H8,0,0,0,1,"2,1,0",H1|H2|H6,H8|H6|H4,H6|H2|H1,H4|H6|H8,H6,H6,0007-benign_curation,0007-adversarial_curation
80031,8,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H1,1,1,1,1,"1,0,2",H1|H2|H6,H1|H2|H3,H2|H1|H6,H2|H1|H3,H1,H1,0008-benign_curation,0008-adversarial_curation
80032,9,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H2,0,1,1,1,"1,0,2",H1|H2|H6,H2|H1|H3,H2|H1|H6,H1|H2|H3,H1,H2,0009-benign_curation,0009-adversarial_curation
